Status(on/off)		Channel		Note	Time(s)
[on			0		C	0.0
[off			0		C	0.27031249999999996
[on			0		D	0.12968749999999998
[off			0		D	0.36093749999999997
[on			0		C	0.0390625
[off			0		C	0.36093749999999997
[on			0		F	0.0390625
[off			0		F	0.36093749999999997
[on			0		E	0.0390625
[off			0		E	0.7218749999999999
[on			0		C	0.078125
[off			0		C	0.27031249999999996
[on			0		D	0.12968749999999998
[off			0		D	0.36093749999999997
[on			0		C	0.0390625
[off			0		C	0.36093749999999997
[on			0		G	0.0390625
[off			0		G	0.36093749999999997
[on			0		F	0.0390625
[off			0		F	0.7218749999999999
[on			0		C	0.078125
[off			0		C	0.27031249999999996
[on			0		C	0.12968749999999998
[off			0		C	0.36093749999999997
[on			0		A	0.0390625
[off			0		A	0.36093749999999997
[on			0		F	0.0390625
[off			0		F	0.36093749999999997
[on			0		E	0.0390625
[off			0		E	0.36093749999999997
[on			0		D	0.0390625
[off			0		D	0.36093749999999997
[on			0		A#	0.0390625
[off			0		A#	0.27031249999999996
[on			0		A	0.12968749999999998
[off			0		A	0.36093749999999997
[on			0		F	0.0390625
[off			0		F	0.36093749999999997
[on			0		G	0.0390625
[off			0		G	0.36093749999999997
[on			0		F	0.0390625
[off			0		F	1.121875
